"1","ability","能力",0
"2","able","～することができる",0
"3","about","～について",0
"4","above","～の上に",0
"5","absolute","絶対的な；完全な",0
"6","absolutely","完全に",0
"7","accept","受け入れる；受け取る",0
"8","acceptable","許容できる",0
"9","account","(預金)口座",0
"10","across","横切って；交差して",0
"11","act","行動する",0
"12","action","行動",0
"13","actual","実際の",0
"14","actually","実際は",0
"15","add","加える",0
"16","addition","追加",0
"17","additional","追加の",0
"18","address","住所； アドレス",0
"19","admit","認める",0
"20","advertise","宣伝する",0
"21","advertisement","広告",0
"22","afford","～する余裕がある",0
"23","afraid","怖がって",0
"24","after","～後で；～を追って",0
"25","afternoon","午後",0
"26","again","再び；その上",0
"27","against","～に反対して",0
"28","age","年齢",0
"29","ago","～前に",0
"30","agree","同意する；一致する；合う",0
"31","agreement","合意；協定；一致",0
"32","ahead","前方に；先に",0
"33","air","空気",0
"34","all","すべて",0
"35","allow","許可する",0
"36","almost","ほとんど",0
"37","alone","独りで；ただ～だけ",0
"38","along","～に沿って",0
"39","already","すでに",0
"40","alright","申し分ない；大丈夫である；了解した",0
"41","also","～もまた；同様に；その上",0
"42","although","～だけれども",0
"43","always","いつも",0
"44","amaze","びっくりさせる",0
"45","among","～の間に；～の中の",0
"46","amount","量；総計，合計に達する；結局～なる",0
"47","and","～と・・・",0
"48","angry","腹を立てている",0
"49","animal","動物",0
"50","another","もう一つの；別の",0
"51","answer","答え",0
"52","any","（疑問文で）何か；いくらか，（否定文で）どれも；少しも，（肯定文で）どれでも",0
"53","anybody","（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも",0
"54","anymore","もはやこれ以上～しない",0
"55","anyone","（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも",0
"56","anything","（疑問文で）何か，（否定文で）何も，（肯定文で）何でも",0
"57","anyway","とにかく；いずれにせよ",0
"58","anywhere","（疑問文で）どこかへ，（否定文で）どこにも，（肯定文で）どこでも",0
"59","apart","離れて；別々に",0
"60","apparent","明白な",0
"61","apparently","明白に；見掛けは",0
"62","appear","現れる",0
"63","appearance","外観；出現；状況",0
"64","area","地域；場所",0
"65","arm","腕",0
"66","around","～の周りに",0
"67","arrival","到着",0
"68","arrive","到着する",0
"69","art","芸術",0
"70","artist","芸術家；アーティスト",0
"71","as","同じぐらい；～のように",0
"72","ashamed","恥じている",0
"73","ask","尋ねる；求める；頼む",0
"74","at","～の所で；～に",0
"75","autumn","秋",0
"76","aware","気づいている",0
"77","awareness","認識",0
"78","away","離れて",0
"79","awful","恐ろしい；ひどい",0
"80","baby","赤ん坊",0
"81","back","もとに戻って",0
"82","bad","悪い",0
"83","badly","悪く",0
"84","bag","かばん；バッグ；袋",0
"85","ball","ボール；球",0
"86","bank","銀行",0
"87","bar","妨げる;  (道を)ふさぐ",0
"88","basic","基本的な",0
"89","basically","基本的には",0
"90","bath","浴槽",0
"91","be","～である",0
"92","beach","砂浜",0
"93","bear","熊",0
"94","beat","打ち負かす",0
"95","beautiful","美しい",0
"96","beauty","美人",0
"97","because","なぜなら～だから",0
"98","become","～になる",0
"99","bed","ベッド",0
"100","before","以前に",0
"101","begin","始まる；始める",0
"102","behind","～の後ろに",0
"103","believe","信じる",0
"104","below","下に；低く",0
"105","beneath","～の下に",0
"106","beside","～の近くに;～の 隣に",0
"107","besides","～のほか；～を除いて，その上",0
"108","bet","賭ける",0
"109","between","～の間に",0
"110","beyond","～の向こうに；～を超えて；～のほかに",0
"111","big","大きい",0
"112","bill","請求書",0
"113","billion","十億",0
"114","bird","鳥",0
"115","birth","誕生",0
"116","bit","少し；部分",0
"117","black","黒い",0
"118","blood","血",0
"119","bloody","血がついた，ひどく",0
"120","blow","吹き飛ばす",0
"121","blue","青い",0
"122","boat","ボート；船",0
"123","body","体；人",0
"124","bone","骨",0
"125","book","本",0
"126","both","両方",0
"127","bother","悩ませる；思い悩む",0
"128","bottle","ボトル；瓶",0
"129","bottom","底",0
"130","box","箱；ボックス",0
"131","boy","男の子",0
"132","bread","パン",0
"133","break","壊す；折る",0
"134","breakfast","朝食",0
"135","breath","息；呼吸",0
"136","bright","明るい;  まぶしい",0
"137","bring","持ってくる；もたらす；至らせる",0
"138","brother","兄弟；仲間",0
"139","brown","茶色の",0
"140","build","建てる；作る",0
"141","burn","燃える；焼く",0
"142","bus","バス",0
"143","business","会社",0
"144","busy","忙しい",0
"145","but","でも",0
"146","buy","買う",0
"147","buyer","買い手",0
"148","by","～の近くに",0
"149","cake","ケーキ",0
"150","camp","キャンプ",0
"151","can","～することができる",0
"152","car","車",0
"153","card","カード",0
"154","care","世話をする",0
"155","careful","注意深い",0
"156","carefully","注意深く",0
"157","carry","運ぶ；持つ",0
"158","case","場合",0
"159","cat","猫",0
"160","catch","捕まえる",0
"161","cause","～の原因となる；引き起こす；～させる",0
"162","center","中心",0
"163","central","中央の； 主要な",0
"164","certain","確信している；必ず～する；明白である；若干の",0
"165","certainly","確かに",0
"166","chair","椅子",0
"167","chance","機会；可能性；偶然",0
"168","change","変える； 変わる",0
"169","charge","請求する",0
"170","cheap","安い",0
"171","check","確認する",0
"172","chicken","ニワトリ",0
"173","child","子ども",0
"174","childhood","子供時代",0
"175","chip","削り取る",0
"176","choice","選択",0
"177","choose","選ぶ",0
"178","church","教会",0
"179","city","市；都市",0
"180","class","階級； ランク",0
"181","clean","きれいな；清潔な",0
"182","clear","はっきりした",0
"183","clearly","はっきりと",0
"184","climb","登る",0
"185","clock","時計",0
"186","close","近い",0
"187","closely","密接に",0
"188","clothes","衣服",0
"189","clothing","衣類",0
"190","club","クラブ； 同好会； 会員制組織， ",0
"191","coat","上着;  コート",0
"192","coffee","コーヒー",0
"193","cold","冷たい；寒い",0
"194","collect","集める",0
"195","collection","収集物(品);  コレクション",0
"196","college","大学；（米）単科大学",0
"197","color","色",0
"198","come","行く",0
"199","comfort","快適さ； 安楽",0
"200","comfortable","快適な； 心地よい",0
"201","company","会社",0
"202","complete","完全にする；完成させる",0
"203","completely","完全に",0
"204","compute","計算する",0
"205","computer","コンピュータ",0
"206","concern","心配； 懸念",0
"207","consider","考慮する；みなす",0
"208","consideration","考慮事項",0
"209","continue","続く",0
"210","continuous","連続的な",0
"211","control","支配する；管理する；抑制する；照査する",0
"212","conversation","会話;  対談",0
"213","cook","料理する",0
"214","cool","涼しい；冷たい",0
"215","corner","コーナー；角；地域；窮地",0
"216","cost","費用",0
